County,Cases,Hospitalizations,Deaths,Date,State,Abbr,FIPS,Recovered,Tests
Calvert,118,NA,5,2020-04-21,Maryland,MD,24009,NA,NA
Charles,427,NA,30,2020-04-21,Maryland,MD,24017,NA,NA
Frederick,658,NA,35,2020-04-21,Maryland,MD,24021,NA,NA
Montgomery,2868,NA,126,2020-04-21,Maryland,MD,24031,NA,NA
Prince Georges,3875,NA,132,2020-04-21,Maryland,MD,24033,NA,NA
Jefferson,65,NA,NA,2020-04-21,West Virginia,WV,54037,NA,NA
District of Columbia,3206,NA,127,2020-04-21,District of Columbia,DC,11001,NA,NA
Fairfax,2077,379,64,2020-04-20,Virginia,VA,51059,NA,NA
Fauquier,49,5,1,2020-04-20,Virginia,VA,51061,NA,NA
Loudoun,468,59,8,2020-04-20,Virginia,VA,51107,NA,NA
Rappahannock,1,0,0,2020-04-20,Virginia,VA,51157,NA,NA
Spotsylvania,79,18,2,2020-04-20,Virginia,VA,51177,NA,NA
Stafford,164,37,2,2020-04-20,Virginia,VA,51179,NA,NA
Falls Church,24,2,1,2020-04-20,Virginia,VA,51610,NA,NA
Fredericksburg,17,3,0,2020-04-20,Virginia,VA,51630,NA,NA
Manassas,110,14,0,2020-04-20,Virginia,VA,51683,NA,NA
Arlington,625,114,23,2020-04-20,Virginia,VA,51013,NA,NA
Clarke,6,1,0,2020-04-20,Virginia,VA,51043,NA,NA
Culpeper,65,9,1,2020-04-20,Virginia,VA,51047,NA,NA
Prince William,867,94,16,2020-04-20,Virginia,VA,51153,NA,NA
Warren,26,3,0,2020-04-20,Virginia,VA,51187,NA,NA
Alexandria City,462,60,9,2020-04-20,Virginia,VA,51510,NA,NA
Fairfax City,22,2,1,2020-04-20,Virginia,VA,51600,NA,NA
Manassas Park,31,5,1,2020-04-20,Virginia,VA,51685,NA,NA
Calvert,116,NA,4,2020-04-20,Maryland,MD,24009,NA,NA
Charles,401,NA,23,2020-04-20,Maryland,MD,24017,NA,NA
Frederick,632,NA,33,2020-04-20,Maryland,MD,24021,NA,NA
Montgomery,2768,NA,116,2020-04-20,Maryland,MD,24031,NA,NA
Prince Georges,3734,NA,118,2020-04-20,Maryland,MD,24033,NA,NA
Jefferson,63,NA,NA,2020-04-20,West Virginia,WV,54037,NA,NA
District of Columbia,3098,NA,112,2020-04-20,District of Columbia,DC,11001,NA,NA
Calvert,114,NA,3,2020-04-19,Maryland,MD,24009,NA,NA
Charles,392,NA,20,2020-04-19,Maryland,MD,24017,NA,NA
Frederick,616,NA,30,2020-04-19,Maryland,MD,24021,NA,NA
Montgomery,2647,NA,106,2020-04-19,Maryland,MD,24031,NA,NA
Prince Georges,3583,NA,112,2020-04-19,Maryland,MD,24033,NA,NA
Jefferson,61,NA,NA,2020-04-19,West Virginia,WV,54037,NA,NA
District of Columbia,2927,NA,105,2020-04-19,District of Columbia,DC,11001,NA,NA
Arlington,593,112,22,2020-04-19,Virginia,VA,51013,NA,NA
Clarke,6,1,0,2020-04-19,Virginia,VA,51043,NA,NA
Culpeper,51,8,1,2020-04-19,Virginia,VA,51047,NA,NA
Fairfax,1925,362,57,2020-04-19,Virginia,VA,51059,NA,NA
Fauquier,41,5,1,2020-04-19,Virginia,VA,51061,NA,NA
Loudoun,446,56,8,2020-04-19,Virginia,VA,51107,NA,NA
Prince William,793,92,16,2020-04-19,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-19,Virginia,VA,51157,NA,NA
Spotsylvania,77,18,2,2020-04-19,Virginia,VA,51177,NA,NA
Stafford,161,33,2,2020-04-19,Virginia,VA,51179,NA,NA
Warren,24,2,0,2020-04-19,Virginia,VA,51187,NA,NA
Alexandria City,421,45,8,2020-04-19,Virginia,VA,51510,NA,NA
Fairfax City,21,2,1,2020-04-19,Virginia,VA,51600,NA,NA
Falls Church,24,2,1,2020-04-19,Virginia,VA,51610,NA,NA
Fredericksburg,17,3,0,2020-04-19,Virginia,VA,51630,NA,NA
Manassas,96,13,0,2020-04-19,Virginia,VA,51683,NA,NA
Manassas Park,30,5,1,2020-04-19,Virginia,VA,51685,NA,NA
Calvert,113,NA,3,2020-04-18,Maryland,MD,24009,NA,NA
Charles,370,NA,17,2020-04-18,Maryland,MD,24017,NA,NA
Frederick,591,NA,30,2020-04-18,Maryland,MD,24021,NA,NA
Montgomery,2507,NA,96,2020-04-18,Maryland,MD,24031,NA,NA
Prince Georges,3345,NA,105,2020-04-18,Maryland,MD,24033,NA,NA
Jefferson,60,NA,NA,2020-04-18,West Virginia,WV,54037,NA,NA
District of Columbia,2793,NA,96,2020-04-18,District of Columbia,DC,11001,NA,NA
Arlington,575,110,20,2020-04-18,Virginia,VA,51013,NA,NA
Clarke,6,1,0,2020-04-18,Virginia,VA,51043,NA,NA
Culpeper,43,8,1,2020-04-18,Virginia,VA,51047,NA,NA
Fairfax,1809,334,48,2020-04-18,Virginia,VA,51059,NA,NA
Fauquier,39,4,1,2020-04-18,Virginia,VA,51061,NA,NA
Loudoun,425,50,7,2020-04-18,Virginia,VA,51107,NA,NA
Prince William,742,81,15,2020-04-18,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-18,Virginia,VA,51157,NA,NA
Spotsylvania,74,18,2,2020-04-18,Virginia,VA,51177,NA,NA
Stafford,152,33,2,2020-04-18,Virginia,VA,51179,NA,NA
Warren,24,2,0,2020-04-18,Virginia,VA,51187,NA,NA
Alexandria City,383,42,7,2020-04-18,Virginia,VA,51510,NA,NA
Fairfax City,11,1,0,2020-04-18,Virginia,VA,51600,NA,NA
Falls Church,2,0,0,2020-04-18,Virginia,VA,51610,NA,NA
Fredericksburg,17,3,0,2020-04-18,Virginia,VA,51630,NA,NA
Manassas,93,10,0,2020-04-18,Virginia,VA,51683,NA,NA
Manassas Park,25,5,1,2020-04-18,Virginia,VA,51685,NA,NA
Calvert,109,NA,2,2020-04-17,Maryland,MD,24009,NA,NA
Charles,347,NA,16,2020-04-17,Maryland,MD,24017,NA,NA
Frederick,557,NA,31,2020-04-17,Maryland,MD,24021,NA,NA
Montgomery,2404,NA,86,2020-04-17,Maryland,MD,24031,NA,NA
Prince Georges,3160,NA,95,2020-04-17,Maryland,MD,24033,NA,NA
Jefferson,60,NA,NA,2020-04-17,West Virginia,WV,54037,NA,NA
District of Columbia,2666,NA,91,2020-04-17,District of Columbia,DC,11001,NA,NA
Arlington,520,54,17,2020-04-17,Virginia,VA,51013,NA,NA
Clarke,6,1,0,2020-04-17,Virginia,VA,51043,NA,NA
Culpeper,39,7,1,2020-04-17,Virginia,VA,51047,NA,NA
Fairfax,1633,309,43,2020-04-17,Virginia,VA,51059,NA,NA
Fauquier,36,4,1,2020-04-17,Virginia,VA,51061,NA,NA
Loudoun,413,47,7,2020-04-17,Virginia,VA,51107,NA,NA
Prince William,700,75,14,2020-04-17,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-17,Virginia,VA,51157,NA,NA
Spotsylvania,72,18,2,2020-04-17,Virginia,VA,51177,NA,NA
Stafford,143,33,2,2020-04-17,Virginia,VA,51179,NA,NA
Warren,24,2,0,2020-04-17,Virginia,VA,51187,NA,NA
Alexandria City,354,40,7,2020-04-17,Virginia,VA,51510,NA,NA
Fairfax City,3,0,0,2020-04-17,Virginia,VA,51600,NA,NA
Falls Church,2,0,0,2020-04-17,Virginia,VA,51610,NA,NA
Fredericksburg,15,3,0,2020-04-17,Virginia,VA,51630,NA,NA
Manassas,82,9,0,2020-04-17,Virginia,VA,51683,NA,NA
Manassas Park,21,4,1,2020-04-17,Virginia,VA,51685,NA,NA
Calvert,109,NA,2,2020-04-16,Maryland,MD,24009,NA,NA
Charles,337,NA,15,2020-04-16,Maryland,MD,24017,NA,NA
Frederick,525,NA,30,2020-04-16,Maryland,MD,24021,NA,NA
Montgomery,2280,NA,78,2020-04-16,Maryland,MD,24031,NA,NA
Prince Georges,2966,NA,87,2020-04-16,Maryland,MD,24033,NA,NA
Jefferson,57,NA,NA,2020-04-16,West Virginia,WV,54037,NA,NA
District of Columbia,2476,NA,86,2020-04-16,District of Columbia,DC,11001,NA,NA
Arlington,485,53,15,2020-04-16,Virginia,VA,51013,NA,NA
Clarke,6,1,0,2020-04-16,Virginia,VA,51043,NA,NA
Culpeper,32,7,1,2020-04-16,Virginia,VA,51047,NA,NA
Fairfax,1476,285,37,2020-04-16,Virginia,VA,51059,NA,NA
Fauquier,35,4,1,2020-04-16,Virginia,VA,51061,NA,NA
Loudoun,385,46,7,2020-04-16,Virginia,VA,51107,NA,NA
Prince William,644,72,13,2020-04-16,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-16,Virginia,VA,51157,NA,NA
Spotsylvania,69,18,2,2020-04-16,Virginia,VA,51177,NA,NA
Stafford,128,33,2,2020-04-16,Virginia,VA,51179,NA,NA
Warren,22,2,0,2020-04-16,Virginia,VA,51187,NA,NA
Alexandria City,321,36,5,2020-04-16,Virginia,VA,51510,NA,NA
Fairfax City,2,0,0,2020-04-16,Virginia,VA,51600,NA,NA
Falls Church,2,0,0,2020-04-16,Virginia,VA,51610,NA,NA
Fredericksburg,15,3,0,2020-04-16,Virginia,VA,51630,NA,NA
Manassas,72,9,0,2020-04-16,Virginia,VA,51683,NA,NA
Manassas Park,21,3,1,2020-04-16,Virginia,VA,51685,NA,NA
Calvert,103,NA,1,2020-04-15,Maryland,MD,24009,NA,NA
Charles,327,NA,13,2020-04-15,Maryland,MD,24017,NA,NA
Frederick,497,NA,29,2020-04-15,Maryland,MD,24021,NA,NA
Montgomery,2133,NA,70,2020-04-15,Maryland,MD,24031,NA,NA
Prince Georges,2722,NA,80,2020-04-15,Maryland,MD,24033,NA,NA
Jefferson,57,NA,NA,2020-04-15,West Virginia,WV,54037,NA,NA
District of Columbia,2350,NA,81,2020-04-15,District of Columbia,DC,11001,NA,NA
Arlington,453,50,15,2020-04-15,Virginia,VA,51013,NA,NA
Clarke,6,1,0,2020-04-15,Virginia,VA,51043,NA,NA
Culpeper,29,7,1,2020-04-15,Virginia,VA,51047,NA,NA
Fairfax,1375,271,31,2020-04-15,Virginia,VA,51059,NA,NA
Fauquier,32,4,1,2020-04-15,Virginia,VA,51061,NA,NA
Loudoun,378,42,6,2020-04-15,Virginia,VA,51107,NA,NA
Prince William,582,65,11,2020-04-15,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-15,Virginia,VA,51157,NA,NA
Spotsylvania,62,15,2,2020-04-15,Virginia,VA,51177,NA,NA
Stafford,120,19,2,2020-04-15,Virginia,VA,51179,NA,NA
Warren,21,2,0,2020-04-15,Virginia,VA,51187,NA,NA
Alexandria City,275,32,4,2020-04-15,Virginia,VA,51510,NA,NA
Fairfax City,1,0,0,2020-04-15,Virginia,VA,51600,NA,NA
Falls Church,2,0,0,2020-04-15,Virginia,VA,51610,NA,NA
Fredericksburg,15,3,0,2020-04-15,Virginia,VA,51630,NA,NA
Manassas,62,9,0,2020-04-15,Virginia,VA,51683,NA,NA
Manassas Park,16,2,1,2020-04-15,Virginia,VA,51685,NA,NA
Calvert,102,NA,1,2020-04-14,Maryland,MD,24009,NA,NA
Charles,310,NA,11,2020-04-14,Maryland,MD,24017,NA,NA
Frederick,442,NA,27,2020-04-14,Maryland,MD,24021,NA,NA
Montgomery,1933,NA,58,2020-04-14,Maryland,MD,24031,NA,NA
Prince Georges,2516,NA,76,2020-04-14,Maryland,MD,24033,NA,NA
Jefferson,54,NA,NA,2020-04-14,West Virginia,WV,54037,NA,NA
District of Columbia,2197,NA,72,2020-04-14,District of Columbia,DC,11001,NA,NA
Arlington,420,44,14,2020-04-14,Virginia,VA,51013,NA,NA
Clarke,6,1,0,2020-04-14,Virginia,VA,51043,NA,NA
Culpeper,25,7,1,2020-04-14,Virginia,VA,51047,NA,NA
Fairfax,1298,256,30,2020-04-14,Virginia,VA,51059,NA,NA
Fauquier,29,4,1,2020-04-14,Virginia,VA,51061,NA,NA
Loudoun,367,40,6,2020-04-14,Virginia,VA,51107,NA,NA
Prince William,536,62,10,2020-04-14,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-14,Virginia,VA,51157,NA,NA
Spotsylvania,60,16,2,2020-04-14,Virginia,VA,51177,NA,NA
Stafford,108,16,0,2020-04-14,Virginia,VA,51179,NA,NA
Warren,20,2,0,2020-04-14,Virginia,VA,51187,NA,NA
Alexandria City,254,24,4,2020-04-14,Virginia,VA,51510,NA,NA
Fairfax City,1,0,0,2020-04-14,Virginia,VA,51600,NA,NA
Falls Church,2,0,0,2020-04-14,Virginia,VA,51610,NA,NA
Fredericksburg,15,3,0,2020-04-14,Virginia,VA,51630,NA,NA
Manassas,53,8,0,2020-04-14,Virginia,VA,51683,NA,NA
Manassas Park,14,2,1,2020-04-14,Virginia,VA,51685,NA,NA
Calvert,99,NA,1,2020-04-13,Maryland,MD,24009,NA,NA
Charles,292,NA,12,2020-04-13,Maryland,MD,24017,NA,NA
Frederick,441,NA,14,2020-04-13,Maryland,MD,24021,NA,NA
Montgomery,1883,NA,54,2020-04-13,Maryland,MD,24031,NA,NA
Prince Georges,2356,NA,72,2020-04-13,Maryland,MD,24033,NA,NA
Jefferson,52,NA,NA,2020-04-13,West Virginia,WV,54037,NA,NA
District of Columbia,2058,NA,67,2020-04-13,District of Columbia,DC,11001,NA,NA
Arlington,401,36,12,2020-04-13,Virginia,VA,51013,NA,NA
Clarke,5,1,0,2020-04-13,Virginia,VA,51043,NA,NA
Culpeper,24,6,1,2020-04-13,Virginia,VA,51047,NA,NA
Fairfax,1207,235,21,2020-04-13,Virginia,VA,51059,NA,NA
Fauquier,28,4,1,2020-04-13,Virginia,VA,51061,NA,NA
Loudoun,344,37,5,2020-04-13,Virginia,VA,51107,NA,NA
Prince William,508,59,9,2020-04-13,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-13,Virginia,VA,51157,NA,NA
Spotsylvania,56,15,2,2020-04-13,Virginia,VA,51177,NA,NA
Stafford,95,14,0,2020-04-13,Virginia,VA,51179,NA,NA
Warren,19,2,0,2020-04-13,Virginia,VA,51187,NA,NA
Alexandria City,247,23,2,2020-04-13,Virginia,VA,51510,NA,NA
Fairfax City,1,0,0,2020-04-13,Virginia,VA,51600,NA,NA
Falls Church,2,0,0,2020-04-13,Virginia,VA,51610,NA,NA
Fredericksburg,14,3,0,2020-04-13,Virginia,VA,51630,NA,NA
Manassas,49,7,0,2020-04-13,Virginia,VA,51683,NA,NA
Manassas Park,13,2,1,2020-04-13,Virginia,VA,51685,NA,NA
Calvert,94,NA,1,2020-04-12,Maryland,MD,24009,NA,NA
Charles,274,NA,10,2020-04-12,Maryland,MD,24017,NA,NA
Frederick,417,NA,12,2020-04-12,Maryland,MD,24021,NA,NA
Montgomery,1756,NA,48,2020-04-12,Maryland,MD,24031,NA,NA
Prince Georges,2205,NA,63,2020-04-12,Maryland,MD,24033,NA,NA
Jefferson,51,NA,NA,2020-04-12,West Virginia,WV,54037,NA,NA
District of Columbia,1955,NA,52,2020-04-12,District of Columbia,DC,11001,NA,NA
Arlington,390,35,11,2020-04-12,Virginia,VA,51013,NA,NA
Clarke,3,1,0,2020-04-12,Virginia,VA,51043,NA,NA
Culpeper,20,6,1,2020-04-12,Virginia,VA,51047,NA,NA
Fairfax,1164,218,21,2020-04-12,Virginia,VA,51059,NA,NA
Fauquier,28,3,1,2020-04-12,Virginia,VA,51061,NA,NA
Loudoun,324,35,5,2020-04-12,Virginia,VA,51107,NA,NA
Prince William,434,46,8,2020-04-12,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-12,Virginia,VA,51157,NA,NA
Spotsylvania,51,14,2,2020-04-12,Virginia,VA,51177,NA,NA
Stafford,87,14,0,2020-04-12,Virginia,VA,51179,NA,NA
Warren,17,2,0,2020-04-12,Virginia,VA,51187,NA,NA
Alexandria City,235,23,1,2020-04-12,Virginia,VA,51510,NA,NA
Fairfax City,1,0,0,2020-04-12,Virginia,VA,51600,NA,NA
Falls Church,2,0,0,2020-04-12,Virginia,VA,51610,NA,NA
Fredericksburg,13,3,0,2020-04-12,Virginia,VA,51630,NA,NA
Manassas,41,5,0,2020-04-12,Virginia,VA,51683,NA,NA
Manassas Park,10,2,1,2020-04-12,Virginia,VA,51685,NA,NA
Calvert,90,NA,1,2020-04-11,Maryland,MD,24009,NA,NA
Charles,253,NA,9,2020-04-11,Maryland,MD,24017,NA,NA
Frederick,368,NA,12,2020-04-11,Maryland,MD,24021,NA,NA
Montgomery,1631,NA,42,2020-04-11,Maryland,MD,24031,NA,NA
Prince Georges,2035,NA,55,2020-04-11,Maryland,MD,24033,NA,NA
Jefferson,49,NA,NA,2020-04-11,West Virginia,WV,54037,NA,NA
District of Columbia,1875,NA,50,2020-04-11,District of Columbia,DC,11001,NA,NA
Arlington,366,35,11,2020-04-11,Virginia,VA,51013,NA,NA
Clarke,3,1,0,2020-04-11,Virginia,VA,51043,NA,NA
Culpeper,19,5,1,2020-04-11,Virginia,VA,51047,NA,NA
Fairfax,1008,209,20,2020-04-11,Virginia,VA,51059,NA,NA
Fauquier,25,3,1,2020-04-11,Virginia,VA,51061,NA,NA
Loudoun,309,35,5,2020-04-11,Virginia,VA,51107,NA,NA
Prince William,389,43,6,2020-04-11,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-11,Virginia,VA,51157,NA,NA
Spotsylvania,50,14,2,2020-04-11,Virginia,VA,51177,NA,NA
Stafford,72,14,0,2020-04-11,Virginia,VA,51179,NA,NA
Warren,15,2,0,2020-04-11,Virginia,VA,51187,NA,NA
Alexandria City,198,22,1,2020-04-11,Virginia,VA,51510,NA,NA
Fairfax City,1,0,0,2020-04-11,Virginia,VA,51600,NA,NA
Falls Church,2,0,0,2020-04-11,Virginia,VA,51610,NA,NA
Fredericksburg,12,3,0,2020-04-11,Virginia,VA,51630,NA,NA
Manassas,34,5,0,2020-04-11,Virginia,VA,51683,NA,NA
Manassas Park,10,2,0,2020-04-11,Virginia,VA,51685,NA,NA
Calvert,82,NA,1,2020-04-10,Maryland,MD,24009,NA,NA
Charles,235,NA,5,2020-04-10,Maryland,MD,24017,NA,NA
Frederick,341,NA,11,2020-04-10,Maryland,MD,24021,NA,NA
Montgomery,1537,NA,36,2020-04-10,Maryland,MD,24031,NA,NA
Prince Georges,1923,NA,50,2020-04-10,Maryland,MD,24033,NA,NA
Jefferson,46,NA,NA,2020-04-10,West Virginia,WV,54037,NA,NA
District of Columbia,1778,NA,47,2020-04-10,District of Columbia,DC,11001,NA,NA
Arlington,349,33,10,2020-04-10,Virginia,VA,51013,NA,NA
Clarke,3,1,0,2020-04-10,Virginia,VA,51043,NA,NA
Culpeper,17,5,1,2020-04-10,Virginia,VA,51047,NA,NA
Fairfax,946,199,20,2020-04-10,Virginia,VA,51059,NA,NA
Fauquier,25,3,1,2020-04-10,Virginia,VA,51061,NA,NA
Loudoun,296,35,5,2020-04-10,Virginia,VA,51107,NA,NA
Prince William,390,44,6,2020-04-10,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-10,Virginia,VA,51157,NA,NA
Spotsylvania,47,13,2,2020-04-10,Virginia,VA,51177,NA,NA
Stafford,67,14,0,2020-04-10,Virginia,VA,51179,NA,NA
Warren,15,2,0,2020-04-10,Virginia,VA,51187,NA,NA
Alexandria City,188,21,1,2020-04-10,Virginia,VA,51510,NA,NA
Fairfax City,1,0,0,2020-04-10,Virginia,VA,51600,NA,NA
Falls Church,0,0,0,2020-04-10,Virginia,VA,51610,NA,NA
Fredericksburg,11,3,0,2020-04-10,Virginia,VA,51630,NA,NA
Manassas,34,5,0,2020-04-10,Virginia,VA,51683,NA,NA
Manassas Park,10,2,0,2020-04-10,Virginia,VA,51685,NA,NA
Calvert,76,NA,1,2020-04-09,Maryland,MD,24009,NA,NA
Charles,220,NA,4,2020-04-09,Maryland,MD,24017,NA,NA
Frederick,289,NA,9,2020-04-09,Maryland,MD,24021,NA,NA
Montgomery,1388,NA,34,2020-04-09,Maryland,MD,24031,NA,NA
Prince Georges,1716,NA,42,2020-04-09,Maryland,MD,24033,NA,NA
Jefferson,44,NA,NA,2020-04-09,West Virginia,WV,54037,NA,NA
District of Columbia,1660,NA,38,2020-04-09,District of Columbia,DC,11001,NA,NA
Arlington,312,25,10,2020-04-09,Virginia,VA,51013,NA,NA
Clarke,3,1,0,2020-04-09,Virginia,VA,51043,NA,NA
Culpeper,14,5,1,2020-04-09,Virginia,VA,51047,NA,NA
Fairfax,777,197,19,2020-04-09,Virginia,VA,51059,NA,NA
Fauquier,23,3,1,2020-04-09,Virginia,VA,51061,NA,NA
Loudoun,274,34,5,2020-04-09,Virginia,VA,51107,NA,NA
Prince William,337,43,5,2020-04-09,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-09,Virginia,VA,51157,NA,NA
Spotsylvania,43,9,2,2020-04-09,Virginia,VA,51177,NA,NA
Stafford,60,14,0,2020-04-09,Virginia,VA,51179,NA,NA
Warren,10,1,0,2020-04-09,Virginia,VA,51187,NA,NA
Alexandria City,174,16,1,2020-04-09,Virginia,VA,51510,NA,NA
Fairfax City,1,0,0,2020-04-09,Virginia,VA,51600,NA,NA
Falls Church,0,0,0,2020-04-09,Virginia,VA,51610,NA,NA
Fredericksburg,10,3,0,2020-04-09,Virginia,VA,51630,NA,NA
Manassas,29,5,0,2020-04-09,Virginia,VA,51683,NA,NA
Manassas Park,7,2,0,2020-04-09,Virginia,VA,51685,NA,NA
Calvert,66,NA,1,2020-04-08,Maryland,MD,24009,NA,NA
Charles,180,NA,3,2020-04-08,Maryland,MD,24017,NA,NA
Frederick,233,NA,4,2020-04-08,Maryland,MD,24021,NA,NA
Montgomery,1214,NA,29,2020-04-08,Maryland,MD,24031,NA,NA
Prince Georges,1476,NA,35,2020-04-08,Maryland,MD,24033,NA,NA
Jefferson,40,NA,NA,2020-04-08,West Virginia,WV,54037,NA,NA
District of Columbia,1523,NA,32,2020-04-08,District of Columbia,DC,11001,NA,NA
Arlington,280,22,7,2020-04-08,Virginia,VA,51013,NA,NA
Clarke,3,1,0,2020-04-08,Virginia,VA,51043,NA,NA
Culpeper,13,5,1,2020-04-08,Virginia,VA,51047,NA,NA
Fairfax,690,166,16,2020-04-08,Virginia,VA,51059,NA,NA
Fauquier,20,3,1,2020-04-08,Virginia,VA,51061,NA,NA
Loudoun,258,35,5,2020-04-08,Virginia,VA,51107,NA,NA
Prince William,299,40,5,2020-04-08,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-08,Virginia,VA,51157,NA,NA
Spotsylvania,36,8,2,2020-04-08,Virginia,VA,51177,NA,NA
Stafford,54,13,0,2020-04-08,Virginia,VA,51179,NA,NA
Warren,9,1,0,2020-04-08,Virginia,VA,51187,NA,NA
Alexandria City,149,7,1,2020-04-08,Virginia,VA,51510,NA,NA
Fairfax City,1,0,0,2020-04-08,Virginia,VA,51600,NA,NA
Falls Church,0,0,0,2020-04-08,Virginia,VA,51610,NA,NA
Fredericksburg,10,3,0,2020-04-08,Virginia,VA,51630,NA,NA
Manassas,25,4,0,2020-04-08,Virginia,VA,51683,NA,NA
Manassas Park,5,2,0,2020-04-08,Virginia,VA,51685,NA,NA
Calvert,56,NA,1,2020-04-07,Maryland,MD,24009,NA,NA
Charles,164,NA,2,2020-04-07,Maryland,MD,24017,NA,NA
Frederick,199,NA,4,2020-04-07,Maryland,MD,24021,NA,NA
Montgomery,1088,NA,26,2020-04-07,Maryland,MD,24031,NA,NA
Prince Georges,1310,NA,32,2020-04-07,Maryland,MD,24033,NA,NA
Jefferson,38,NA,NA,2020-04-07,West Virginia,WV,54037,NA,NA
District of Columbia,1440,NA,27,2020-04-07,District of Columbia,DC,11001,NA,NA
Arlington,254,13,5,2020-04-07,Virginia,VA,51013,NA,NA
Clarke,3,1,0,2020-04-07,Virginia,VA,51043,NA,NA
Culpeper,10,5,1,2020-04-07,Virginia,VA,51047,NA,NA
Fairfax,570,151,9,2020-04-07,Virginia,VA,51059,NA,NA
Fauquier,17,3,0,2020-04-07,Virginia,VA,51061,NA,NA
Loudoun,238,32,4,2020-04-07,Virginia,VA,51107,NA,NA
Prince William,263,36,5,2020-04-07,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-07,Virginia,VA,51157,NA,NA
Spotsylvania,31,7,2,2020-04-07,Virginia,VA,51177,NA,NA
Stafford,48,11,0,2020-04-07,Virginia,VA,51179,NA,NA
Warren,8,1,0,2020-04-07,Virginia,VA,51187,NA,NA
Alexandria City,143,6,0,2020-04-07,Virginia,VA,51510,NA,NA
Fairfax City,1,0,0,2020-04-07,Virginia,VA,51600,NA,NA
Falls Church,0,0,0,2020-04-07,Virginia,VA,51610,NA,NA
Fredericksburg,8,3,0,2020-04-07,Virginia,VA,51630,NA,NA
Manassas,20,2,0,2020-04-07,Virginia,VA,51683,NA,NA
Manassas Park,5,2,0,2020-04-07,Virginia,VA,51685,NA,NA
District of Columbia,1211,NA,22,2020-04-06,District of Columbia,DC,11001,NA,NA
Calvert,41,NA,1,2020-04-06,Maryland,MD,24009,NA,NA
Charles,136,NA,2,2020-04-06,Maryland,MD,24017,NA,NA
Frederick,151,NA,4,2020-04-06,Maryland,MD,24021,NA,NA
Montgomery,871,NA,21,2020-04-06,Maryland,MD,24031,NA,NA
Prince Georges,1020,NA,26,2020-04-06,Maryland,MD,24033,NA,NA
Jefferson,31,NA,NA,2020-04-06,West Virginia,WV,54037,NA,NA
Arlington,237,11,5,2020-04-06,Virginia,VA,51013,NA,NA
Clarke,2,1,0,2020-04-06,Virginia,VA,51043,NA,NA
Culpeper,9,5,1,2020-04-06,Virginia,VA,51047,NA,NA
Fairfax,532,142,9,2020-04-06,Virginia,VA,51059,NA,NA
Fauquier,18,3,0,2020-04-06,Virginia,VA,51061,NA,NA
Loudoun,209,31,4,2020-04-06,Virginia,VA,51107,NA,NA
Prince William,236,34,4,2020-04-06,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-06,Virginia,VA,51157,NA,NA
Spotsylvania,29,5,1,2020-04-06,Virginia,VA,51177,NA,NA
Stafford,49,6,0,2020-04-06,Virginia,VA,51179,NA,NA
Warren,6,1,0,2020-04-06,Virginia,VA,51187,NA,NA
Alexandria City,126,6,0,2020-04-06,Virginia,VA,51510,NA,NA
Fairfax City,1,0,0,2020-04-06,Virginia,VA,51600,NA,NA
Falls Church,0,0,0,2020-04-06,Virginia,VA,51610,NA,NA
Fredericksburg,8,2,0,2020-04-06,Virginia,VA,51630,NA,NA
Manassas,20,2,0,2020-04-06,Virginia,VA,51683,NA,NA
Manassas Park,4,1,0,2020-04-06,Virginia,VA,51685,NA,NA
Calvert,40,NA,1,2020-04-05,Maryland,MD,24009,NA,NA
Charles,129,NA,2,2020-04-05,Maryland,MD,24017,NA,NA
Frederick,138,NA,4,2020-04-05,Maryland,MD,24021,NA,NA
Montgomery,793,NA,19,2020-04-05,Maryland,MD,24031,NA,NA
Prince Georges,916,NA,23,2020-04-05,Maryland,MD,24033,NA,NA
Jefferson,22,NA,NA,2020-04-05,West Virginia,WV,54037,NA,NA
District of Columbia,1097,NA,24,2020-04-05,District of Columbia,DC,11001,NA,NA
Arlington,203,11,5,2020-04-05,Virginia,VA,51013,NA,NA
Clarke,2,1,0,2020-04-05,Virginia,VA,51043,NA,NA
Culpeper,8,4,1,2020-04-05,Virginia,VA,51047,NA,NA
Fairfax,488,119,6,2020-04-05,Virginia,VA,51059,NA,NA
Fauquier,11,2,0,2020-04-05,Virginia,VA,51061,NA,NA
Loudoun,188,30,4,2020-04-05,Virginia,VA,51107,NA,NA
Prince William,193,31,3,2020-04-05,Virginia,VA,51153,NA,NA
