Report Date,Health District,Race,Number of Cases,Number of Hospitalizations,Number of Deaths
5/2/2020,Portsmouth,Other,10,2,0
5/2/2020,Pittsylvania-Danville,Not Reported,7,2,0
5/2/2020,West Piedmont,Not Reported,5,0,0
5/2/2020,Norfolk,White,58,15,2
5/2/2020,Hampton,White,20,4,0
5/2/2020,Western Tidewater,Black or African American,182,27,6
5/2/2020,Prince William,Not Reported,1132,15,0
5/2/2020,Fairfax,White,1229,231,80
5/2/2020,Lenowisco,Other,1,0,0
5/2/2020,Rappahannock Rapidan,Not Reported,203,4,1
5/2/2020,Three Rivers,Black or African American,72,5,0
5/2/2020,Henrico,Black or African American,388,72,45
5/2/2020,Lenowisco,Not Reported,9,1,1
5/2/2020,Chesapeake,Other,27,5,3
5/2/2020,Crater,Not Reported,48,3,1
5/2/2020,Chickahominy,Not Reported,106,4,2
5/2/2020,Eastern Shore,Black or African American,276,17,3
5/2/2020,Alexandria,Other,127,21,1
5/2/2020,Chesterfield,Black or African American,165,27,7
5/2/2020,Roanoke,Not Reported,19,0,0
5/2/2020,Rappahannock,Black or African American,72,16,2
5/2/2020,Lord Fairfax,White,352,35,5
5/2/2020,Three Rivers,White,85,12,1
5/2/2020,Central Virginia,Not Reported,93,3,0
5/2/2020,Eastern Shore,Other,12,1,1
5/2/2020,Crater,Black or African American,123,41,6
5/2/2020,Mount Rogers,Black or African American,0,0,0
5/2/2020,Central Shenandoah,White,498,37,14
5/2/2020,Southside,White,37,9,5
5/2/2020,Hampton,Other,5,1,0
5/2/2020,Alleghany,White,77,14,3
5/2/2020,Prince William,Other,439,77,4
5/2/2020,Arlington,Not Reported,632,72,9
5/2/2020,West Piedmont,Black or African American,5,1,0
5/2/2020,Peninsula,Other,13,6,1
5/2/2020,Norfolk,Other,9,2,0
5/2/2020,Lord Fairfax,Black or African American,20,2,0
5/2/2020,Mount Rogers,Not Reported,4,1,0
5/2/2020,Central Virginia,Black or African American,11,0,0
5/2/2020,West Piedmont,Other,2,1,1
5/2/2020,Portsmouth,White,39,6,1
5/2/2020,Thomas Jefferson,Not Reported,8,0,0
5/2/2020,Three Rivers,Not Reported,67,4,1
5/2/2020,Virginia Beach,Black or African American,95,16,2
5/2/2020,Prince William,Black or African American,199,38,10
5/2/2020,Loudoun,Not Reported,293,4,2
5/2/2020,Loudoun,White,383,57,12
5/2/2020,Peninsula,Not Reported,59,3,0
5/2/2020,Pittsylvania-Danville,Black or African American,21,6,0
5/2/2020,Henrico,White,355,58,55
5/2/2020,Richmond,White,79,9,1
5/2/2020,Southside,Black or African American,20,7,1
5/2/2020,Chickahominy,White,96,25,10
5/2/2020,Thomas Jefferson,Other,23,2,0
5/2/2020,Virginia Beach,Other,42,16,2
5/2/2020,Central Shenandoah,Black or African American,41,2,1
5/2/2020,Chesterfield,White,183,23,16
5/2/2020,Central Virginia,White,37,5,1
5/2/2020,Rappahannock,White,187,42,8
5/2/2020,New River,White,42,8,1
5/2/2020,Mount Rogers,Other,5,1,0
5/2/2020,Crater,White,39,12,5
5/2/2020,Alleghany,Not Reported,34,1,0
